item_encoded,total_observations,historical_shortage_prob,avg_shortage_qty,max_shortage_qty,total_shortage_qty,shortage_qty_7d_avg,shortage_qty_30d_avg,shortage_freq_7d,shortage_freq_30d,is_shortage
95,744,0.002688172043010753,0.04838709677419355,18.0,36.0,0.0,0.0,0.0,0.0,0
96,744,0.010752688172043012,0.3870967741935484,41.0,288.0,0.0,0.0,0.0,0.0,0
97,744,0.012096774193548387,0.6102150537634409,56.0,454.0,0.0,0.0,0.0,0.0,0
98,744,0.005376344086021506,0.024193548387096774,6.0,18.0,0.0,0.6,0.0,0.13333333333333333,0
99,744,0.024193548387096774,0.22580645161290322,26.0,168.0,0.0,0.0,0.0,0.0,0
100,744,0.013440860215053764,0.025537634408602152,4.0,19.0,0.0,0.0,0.0,0.0,0
101,744,0.009408602150537635,0.32526881720430106,147.0,242.0,0.0,0.0,0.0,0.0,0
102,744,0.10080645161290322,0.14112903225806453,11.0,105.0,0.0,0.0,0.0,0.0,0
103,744,0.005376344086021506,0.005376344086021506,1.0,4.0,0.0,0.0,0.0,0.0,0
104,744,0.002688172043010753,0.012096774193548387,8.0,9.0,0.0,0.0,0.0,0.0,0
105,744,0.030913978494623656,0.7459677419354839,40.0,555.0,0.0,0.0,0.0,0.0,0
106,744,0.033602150537634407,0.6720430107526881,20.0,500.0,0.0,0.0,0.0,0.0,0
107,744,0.020161290322580645,18.155913978494624,2943.0,13508.0,0.0,0.0,0.0,0.0,0
108,744,0.15456989247311828,0.7728494623655914,13.0,575.0,0.0,0.0,0.0,0.0,0
109,744,0.03763440860215054,1.3776881720430108,50.0,1025.0,0.0,0.0,0.0,0.0,0
110,744,0.06182795698924731,1.7258064516129032,186.0,1284.0,0.0,0.0,0.0,0.0,0
111,744,0.002688172043010753,0.01881720430107527,7.0,14.0,0.0,0.0,0.0,0.0,0
112,744,0.021505376344086023,0.03494623655913978,2.0,26.0,0.0,0.0,0.0,0.0,0
113,744,0.002688172043010753,0.051075268817204304,19.0,38.0,0.0,0.0,0.0,0.0,0
114,744,0.0013440860215053765,0.030913978494623656,23.0,23.0,0.0,0.0,0.0,0.0,0
115,744,0.002688172043010753,0.03494623655913978,13.0,26.0,0.0,0.0,0.0,0.0,0
116,744,0.0228494623655914,0.1196236559139785,12.0,89.0,0.0,0.0,0.0,0.0,0
117,744,0.03494623655913978,0.22983870967741934,14.0,171.0,0.0,0.0,0.0,0.0,0
118,744,0.04838709677419355,0.40860215053763443,26.0,304.0,0.0,0.6,0.0,0.1,0
119,744,0.026881720430107527,4.461021505376344,705.0,3319.0,0.0,0.0,0.0,0.0,0
120,744,0.020161290322580645,11.151881720430108,1219.0,8297.0,0.0,0.0,0.0,0.0,0
121,744,0.01881720430107527,1.1935483870967742,92.0,888.0,0.0,0.0,0.0,0.0,0
122,744,0.002688172043010753,0.008064516129032258,3.0,6.0,0.0,0.0,0.0,0.0,0
123,744,0.030913978494623656,1.1223118279569892,80.0,835.0,0.0,0.0,0.0,0.0,0
124,744,0.0013440860215053765,0.8158602150537635,607.0,607.0,0.0,0.0,0.0,0.0,0
125,744,0.0013440860215053765,0.22580645161290322,168.0,168.0,0.0,0.0,0.0,0.0,0
126,744,0.04704301075268817,0.04704301075268817,1.0,35.0,0.0,0.0,0.0,0.0,0
127,744,0.002688172043010753,0.010752688172043012,4.0,8.0,0.0,0.0,0.0,0.0,0
128,744,0.0013440860215053765,0.01881720430107527,14.0,14.0,0.0,0.0,0.0,0.0,0
129,744,0.0013440860215053765,0.008064516129032258,6.0,6.0,0.0,0.0,0.0,0.0,0
130,744,0.0013440860215053765,0.0013440860215053765,1.0,1.0,0.0,0.0,0.0,0.0,0
131,744,0.05510752688172043,0.5846774193548387,28.0,435.0,0.0,0.0,0.0,0.0,0
132,744,0.006720430107526882,0.15994623655913978,58.0,119.0,0.0,0.0,0.0,0.0,0
133,744,0.016129032258064516,4.266129032258065,896.0,3174.0,0.0,0.0,0.0,0.0,0
134,744,0.0013440860215053765,0.0013440860215053765,1.0,1.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0
135,744,0.020161290322580645,3.756720430107527,633.0,2795.0,0.0,0.0,0.0,0.0,0
136,744,0.004032258064516129,0.008064516129032258,2.0,6.0,0.0,0.0,0.0,0.0,0
137,744,0.0013440860215053765,0.008064516129032258,6.0,6.0,0.0,0.0,0.0,0.0,0
138,744,0.18951612903225806,8.489247311827956,304.0,6316.0,0.0,5.0,0.0,0.2,0
139,744,0.041666666666666664,0.36155913978494625,11.0,269.0,0.0,0.0,0.0,0.0,0
140,744,0.03494623655913978,0.4220430107526882,72.0,314.0,0.0,0.0,0.0,0.0,0
141,744,0.08602150537634409,0.6935483870967742,26.0,516.0,0.0,0.0,0.0,0.0,0
142,744,0.010752688172043012,0.08333333333333333,30.0,62.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0
143,744,0.013440860215053764,0.23790322580645162,30.0,177.0,0.0,0.0,0.0,0.0,0
144,744,0.20698924731182797,97.41935483870968,1780.0,72480.0,0.0,0.0,0.0,0.0,0
145,744,0.012096774193548387,0.012096774193548387,1.0,9.0,0.0,0.0,0.0,0.0,0
